Instructions,Responses
Como o aluno pode solicitar a declaração de 'Nada Consta'?,"O aluno deve dirigir-se à Biblioteca Central, apresentando os documentos necessários e comprovando que não possui débitos com as Bibliotecas Setoriais para solicitar a declaração de 'Nada Consta'."
O que regulamenta a Resolução n° 008/2015 da UFAM?,"A Resolução n° 008/2015 regulamenta o uso do nome social no âmbito da Universidade Federal do Amazonas, garantindo a pessoas de ambos os sexos o direito de usar o nome social nos registros funcionais, acadêmicos e cadastrais."
Quem pode solicitar o uso do nome social na UFAM?,"Servidores técnico-administrativos em educação, docentes, discentes e candidatos participantes de processos seletivos podem solicitar o uso do nome social na UFAM."
O que é considerado como nome social de acordo com a resolução?,"O nome social é aquele pelo qual as pessoas se identificam e são identificadas pela sociedade, respeitando a sua identidade de gênero."
Como um servidor ou discente pode solicitar a inclusão do nome social?,"A solicitação de inclusão ou retirada do nome social deve ser realizada junto à Pró-Reitoria de Ensino de Graduação (PROEG) para discentes, e à Pró-Reitoria de Gestão de Pessoas (PROGESP) para servidores, docentes ou técnico-administrativos."
Quando um candidato pode solicitar a inclusão do nome social?,"O candidato pode solicitar a inclusão do nome social no ato da inscrição, em um formulário próprio que conterá um campo para 'Nome Social'."
O que acontece se o discente for menor de 18 anos?,"O discente menor de 18 anos pode requerer a utilização do nome social sem a necessidade de autorização do responsável, conforme a Resolução 12/2015 do Conselho Nacional de Combate à Discriminação."
Quais documentos internos exibem o nome social?,"O nome social será o único exibido em documentos de uso interno, como diários de disciplinas, fichas e cadastros, listas de presença, divulgação de notas e resultados de editais."
Como deve ser o registro do nome social nas identificações funcionais?,"O nome social deve ser anotado no anverso da identificação funcional, enquanto o nome civil deve constar no verso."
Os alunos têm direito a serem chamados pelo nome social em eventos acadêmicos?,"Sim, alunos, servidores e servidoras têm o direito de ser chamados oralmente pelo nome social em eventos como colação de grau, defesa de tese e entrega de certificados."
Como os agentes públicos devem tratar as pessoas em relação ao nome social?,"Os agentes públicos devem tratar as pessoas pelo prenome indicado, que constará nos atos escritos."
"O que acontece com os documentos oficiais, como diplomas, em relação ao nome social?","Os documentos oficiais, como históricos escolares e diplomas, serão emitidos com o nome civil, mas o nome social será consignado logo em seguida."
Quais são os fundamentos legais que apoiam a Resolução n° 008/2015?,"Os fundamentos legais incluem a Constituição da República Federativa do Brasil, a Lei de Diretrizes e Bases da Educação, e portarias do Ministério do Planejamento e do Ministério da Educação."
A Resolução n° 008/2015 se aplica apenas a alunos e servidores da UFAM?,"Não, a Resolução também se aplica a candidatos que participam de processos seletivos, concursos públicos e processos de seleção simplificada na UFAM."
Quais são as implicações se um servidor ou discente não solicitar o nome social?,"Se um servidor ou discente não solicitar o uso do nome social, seu nome civil será utilizado, o que pode não refletir sua identidade de gênero e causar desconforto."
Qual é o papel da Pró-Reitoria de Ensino de Graduação (PROEG) em relação ao nome social?,A PROEG é responsável por receber as solicitações de inclusão ou retirada do nome social dos discentes na UFAM.
Qual é o papel da Pró-Reitoria de Gestão de Pessoas (PROGESP) em relação ao nome social?,"A PROGESP é responsável por receber as solicitações de inclusão ou retirada do nome social de servidores, docentes e técnico-administrativos na UFAM."
Quais são os direitos assegurados aos alunos e servidores em relação ao nome social?,"Os direitos assegurados incluem ser chamado pelo nome social em todas as situações pertinentes, como frequência em sala de aula e eventos formais."
Quais casos omissos na Resolução n° 008/2015 podem ser decididos?,"Os casos omissos na resolução serão decididos pela Pró-Reitoria competente, sempre ouvindo a pessoa interessada."
Quando a Resolução n° 008/2015 entra em vigor?,"A Resolução entra em vigor na data de sua publicação, que foi em 15 de maio de 2015."
Qual é o prazo para entrega de exercícios escolares após a sua correção pelo professor?,Os exercícios escolares devem ser entregues ao discente até 30 (trinta) dias após sua aplicação.
Quando a prova final deve ser entregue ao discente?,A prova final deve ser entregue no dia útil seguinte ao fim da data prevista no calendário acadêmico para o lançamento das notas no portal do professor.
O que deve ser feito pelo discente no momento da entrega dos exercícios e da prova final?,"No momento da entrega, o discente deve formalizar o recebimento por meio de assinatura em uma lista que contém os nomes e notas de todos os discentes matriculados na disciplina."
O que acontece com os exercícios e provas não reclamados após um ano?,"Ao final do semestre, todos os exercícios escolares, provas finais e listas de assinaturas serão arquivados e, se não reclamados após um (1) ano do registro das notas, serão eliminados."
O que é a revisão de exercícios escolares e prova final na UFAM?,"A revisão compreende um conjunto de procedimentos que permitem ao discente revisar suas avaliações e, se necessário, solicitar a retificação de nota."
É permitido solicitar a revisão de avaliações feitas a lápis?,"Não, não será permitida a revisão de exercícios escolares e provas finais que tenham sido feitos a lápis."
Como deve ser a fundamentação para um pedido de revisão?,"A fundamentação deve ser adequada, refutando a correção original com argumentos pertinentes ao conteúdo abordado e deve ser escrita ou digitada."
Qual é o prazo para solicitar a revisão de uma avaliação após a ciência da nota?,O discente terá o prazo comum de 03 (três) dias úteis para solicitar a revisão da avaliação após ter ciência da nota.
Qual é o prazo máximo para a análise do pedido de revisão?,A análise do pedido de revisão de prova será efetuada no prazo máximo de até 10 (dez) dias úteis após a protocolização da solicitação.
Quais são algumas razões que podem levar ao indeferimento de um pedido de revisão?,"A solicitação pode ser indeferida se não contiver a fundamentação especificada, não observar o prazo estabelecido, não indicar as questões a serem revisadas ou não incluir a avaliação original em anexo."
Como deve ser protocolado o pedido de revisão de avaliação?,O pedido de revisão deve ser protocolado na Coordenação do respectivo curso.
Qual é o papel do Coordenador do Curso após a análise do pedido de revisão?,"Após analisar os requisitos de admissibilidade, o Coordenador do Curso deve encaminhar o processo ao professor da disciplina para análise e decisão no prazo de até 3 (três) dias úteis."
O que deve fazer o professor após receber um pedido de revisão?,"O professor deve emitir um parecer contendo o deferimento ou indeferimento da solicitação, indicando a motivação e, se deferido, realizar a retificação da nota."
O discente pode recorrer da decisão do professor?,"Sim, se o discente não concordar com a nota após a revisão pelo professor, ele pode recorrer da decisão no prazo de 02 (dois) dias úteis."
Quais são os requisitos para a admissibilidade do recurso?,"O recurso deve ter fundamentação adequada, obedecer ao modelo específico, ser protocolado na Coordenação do curso e apresentar motivos que indiquem inconsistências no parecer do professor."
Como é composta a banca que analisa o recurso?,"A banca é composta por 03 (três) professores, constituída de ofício pelo Coordenador de Curso após a análise dos requisitos de admissibilidade do recurso."
Qual é o prazo para a banca emitir um parecer sobre o recurso?,A banca tem um prazo de 05 (cinco) dias úteis para concluir os trabalhos e emitir um parecer sobre o recurso.
O que acontece se o recurso for deferido?,"Se o recurso for deferido, a banca comunicará ao professor sobre a necessidade de retificação da nota e o processo será encaminhado para a Coordenação do curso para ciência do discente."
Como o discente será notificado sobre o resultado do recurso?,"O discente será comunicado formalmente da data, horário e local da divulgação do resultado do recurso, e é imprescindível que ele assine para formalizar a ciência do resultado."
O professor pode negar informações sobre critérios de avaliação ao discente?,"Não, o docente não pode negar qualquer informação acerca dos critérios e da pontuação que prejudique o discente nos procedimentos contidos na resolução."
O que é a Libras?,"A Libras, ou Língua Brasileira de Sinais, é a língua utilizada pela comunidade surda no Brasil, que permite a comunicação e expressão de ideias e sentimentos por meio de sinais visuais."
Qual é a finalidade do Decreto n° 5.626 de 2005?,"O Decreto n° 5.626 regulamenta a Lei n° 10.436, de 24 de abril de 2002, que dispõe sobre a Língua Brasileira de Sinais - Libras, e estabelece diretrizes para a inclusão e o ensino da Libras em instituições educacionais."
Quem é considerado pessoa surda segundo o Decreto?,"Considera-se pessoa surda aquela que, por ter perda auditiva, compreende e interage com o mundo por meio de experiências visuais, manifestando sua cultura principalmente pelo uso da Língua Brasileira de Sinais - Libras."
Quais são os cursos que devem incluir a Libras como disciplina curricular obrigatória?,"A Libras deve ser incluída como disciplina curricular obrigatória nos cursos de formação de professores em nível médio e superior, e nos cursos de Fonoaudiologia."
Qual a prioridade na formação de professores de Libras?,"As pessoas surdas terão prioridade nos cursos de formação de professores para o ensino de Libras, conforme estabelecido no Decreto."
Como a Libras é abordada em cursos de educação profissional?,"A Libras será uma disciplina optativa nos demais cursos de educação superior e na educação profissional, a partir de um ano da publicação do Decreto."
Qual é a formação mínima para professores de Libras na educação infantil?,"A formação mínima para professores de Libras na educação infantil deve ser realizada em curso de Pedagogia ou curso normal superior, onde Libras e Língua Portuguesa escrita constituam línguas de instrução."
O que deve ser garantido às pessoas surdas nas instituições de ensino?,"As instituições federais de ensino devem garantir o acesso à comunicação, informação e educação para pessoas surdas em todos os níveis e modalidades educacionais."
Como as instituições devem incluir a Libras em seus currículos?,As instituições de ensino médio e superior que oferecem cursos de formação para o magistério devem incluir a Libras como disciplina curricular em percentuais mínimos ao longo de dez anos após a publicação do Decreto.
Qual é o objetivo do exame de proficiência em Libras?,"O exame de proficiência em Libras tem como objetivo avaliar a fluência, conhecimento e competência para o ensino da língua, e deve ser promovido anualmente pelo Ministério da Educação."
Quais são as áreas de conhecimento onde a Libras deve ser ensinada?,"A Libras deve ser ensinada nas áreas de conhecimento em cursos de formação de professores, Fonoaudiologia e Tradução e Interpretação de Libras - Língua Portuguesa."
Qual é a relação entre a Libras e a Língua Portuguesa segundo o Decreto?,O ensino da modalidade escrita da Língua Portuguesa como segunda língua para pessoas surdas deve ser incluído nos cursos de formação de professores e em outros níveis educacionais.
O que as instituições devem fazer para garantir a acessibilidade dos alunos surdos?,"As instituições devem prover tradutores e intérpretes de Libras, professores bilíngues e garantir o atendimento educacional especializado para alunos surdos."
Como deve ser a formação de tradutores e intérpretes de Libras?,"A formação de tradutores e intérpretes de Libras deve ser realizada por meio de curso superior de Tradução e Interpretação, com habilitação em Libras - Língua Portuguesa."
Qual é a prioridade na contratação de profissionais para o ensino de Libras?,As pessoas surdas têm prioridade na contratação para o ensino de Libras e na atuação como tradutores e intérpretes.
O que é considerado deficiência auditiva segundo o Decreto?,"Considera-se deficiência auditiva a perda bilateral, parcial ou total, de 41 decibéis (dB) ou mais, aferida por audiograma nas frequências de 500Hz, 1.000Hz, 2.000Hz e 3.000Hz."
Como as escolas devem promover a Libras?,"As escolas devem promover cursos de formação para professores sobre o ensino e uso da Libras, além de garantir a inclusão desta língua no currículo escolar."
Qual é o papel das instituições de saúde em relação à Libras?,As instituições de saúde devem garantir que os profissionais sejam capacitados para usar Libras e realizar a tradução e interpretação para atender às necessidades de pacientes surdos.
Por que é importante a inclusão da Libras nas escolas?,"A inclusão da Libras nas escolas é fundamental para garantir a comunicação efetiva, o acesso à informação e a educação de qualidade para alunos surdos."
O que é jubilação na Universidade Federal do Amazonas?,"A jubilação é o processo de exclusão de discentes do cadastro da Universidade Federal do Amazonas, regulamentado pela Resolução nº 030/2015-CEG/CONSEPE, conforme o artigo 75 do Regimento Geral."
Quais são as situações que levam à jubilação?,Um discente será jubilado se ultrapassar o tempo máximo para integralização do curso especificado no projeto pedagógico ou se não efetivar matrícula por mais de 04 semestres consecutivos ou não.
Quem pode iniciar o processo de jubilação?,"O processo de jubilação é iniciado por uma ação conjunta da Pró-Reitoria de Ensino de Graduação (PROEG) e do Centro de Tecnologia da Informação e Comunicação (CTIC), ao constatar discentes nas situações previstas."
Como os discentes são notificados sobre a jubilação?,"Os discentes são notificados pessoalmente pelo Coordenador do Curso, por via postal, por meio eletrônico ou, se necessário, por edital publicado em página eletrônica e jornal de grande circulação."
Qual é o prazo para o discente apresentar defesa após a notificação?,"O discente tem 30 dias, contados a partir da ciência da notificação, para apresentar uma defesa escrita junto à PROEG."
O que acontece se um discente não se apresentar após a notificação?,O comparecimento espontâneo do discente supre a ausência de notificação e pode sanar eventuais irregularidades nos atos processuais.
Como é composta a Comissão que analisa as defesas dos discentes?,A Comissão é composta por 03 membros servidores da UFAM e tem um prazo de 15 dias para concluir os trabalhos e publicar o relatório final sobre as defesas.
Qual é o procedimento se a defesa do discente for indeferida?,As defesas indeferidas serão motivadas e as exclusões registradas no histórico escolar do discente.
Como o discente pode recorrer de uma decisão de jubilação?,"O discente pode interpor recurso administrativo no prazo de 10 dias, contados da data de publicação do resultado da defesa, protocolando na PROEG."
A decisão da Câmara de Ensino de Graduação pode ser contestada?,"Sim, das decisões da Câmara de Ensino de Graduação cabe recurso administrativo ao Conselho de Ensino, Pesquisa e Extensão e, posteriormente, ao Conselho Universitário."
Os recursos administrativos têm efeitos suspensivos?,"Não, os recursos não terão efeitos suspensivos, exceto em casos de justo receio de prejuízo de difícil ou incerta reparação, quando a autoridade poderá dar efeito suspensivo ao recurso."
O que deve constar nas notificações de jubilação?,"As notificações devem conter o nome do discente, número de matrícula, curso, finalidade da notificação e a informação sobre o direito de formular defesa."
Como a PROEG deve proceder em caso de defesa baseada em documentos existentes na UFAM?,"Se o discente declarar que fatos estão registrados em documentos na própria UFAM, a PROEG deve promover, de ofício, a obtenção dos documentos ou cópias."
Qual é a responsabilidade do Coordenador do Curso em relação à notificação?,"O Coordenador do Curso tem o prazo de até 07 dias para notificar pessoalmente o discente e deve devolver as notificações à PROEG, independentemente de terem sido recebidas."
O que acontece se um discente não mantiver seu cadastro atualizado?,"É dever do discente manter seu cadastro atualizado, e qualquer alteração deve ser informada à Instituição, via portal do discente."
O que ocorre em caso de problemas técnicos na rede eletrônica da UFAM?,"Se houver problemas técnicos na acessibilidade à rede da UFAM, os prazos poderão ser prorrogados a critério da Comissão responsável."
Qual é o papel do CTIC no processo de jubilação?,"O CTIC é responsável por fornecer à PROEG uma relação contendo os nomes dos discentes que infringiram os incisos do artigo 75 do Regimento Geral, após o término do período letivo."
O que deve ser feito se um discente menor de 18 anos precisar realizar a matrícula?,"O discente menor de 18 anos deve assinar o termo de conhecimento do prazo de conclusão do curso, acompanhado por seu pai, mãe ou responsável legal."
Quando esta Resolução entrou em vigor?,"A Resolução nº 030/2015-CEG/CONSEPE entrou em vigor na data de sua publicação, que foi em 29 de outubro de 2015."
O que é o Núcleo Docente Estruturante (NDE)?,"O Núcleo Docente Estruturante é uma instância consultiva constituída por professores de um curso de graduação, com a função de acompanhar, consolidar e atualizar continuamente o projeto pedagógico do curso."
Qual a finalidade do NDE na Universidade Federal do Amazonas?,"A finalidade do NDE é contribuir para a consolidação do perfil do egresso, zelar pela aplicação das Diretrizes Curriculares Nacionais e acompanhar o desenvolvimento e reestruturação do projeto pedagógico dos cursos de graduação."
Quantos membros devem compor o NDE?,"O NDE deve ser composto pelo coordenador do curso e por no mínimo cinco professores efetivos do curso, com dedicação exclusiva à Universidade Federal do Amazonas."
Qual a formação necessária para os membros do NDE?,Pelo menos 60% dos membros do NDE devem ter titulação acadêmica obtida em programa de pós-graduação stricto sensu e graduação na área de conhecimento do curso.
Quem é o presidente do NDE?,O presidente do NDE é o Coordenador do Curso.
Com que frequência o NDE se reúne?,"O NDE deve se reunir uma vez por semestre, preferencialmente no início do semestre letivo, e extraordinariamente sempre que convocado pelo presidente ou por solicitação da maioria dos membros."
Quais são as atribuições do NDE?,"As atribuições do NDE incluem contribuir para a consolidação do perfil do egresso, zelar pela aplicação das Diretrizes Curriculares Nacionais, acompanhar a implantação e reestruturação do projeto pedagógico, e propor formas de incentivo ao desenvolvimento da pesquisa e extensão."
Como as propostas do NDE são tratadas?,As propostas do NDE são submetidas à apreciação do colegiado do curso.
Qual é o mandato dos integrantes do NDE?,"O mandato dos integrantes do NDE, assim como do coordenador do colegiado de curso, é de dois anos, podendo cada membro ser reconduzido por mais dois mandatos."
O que deve ser considerado na composição do NDE?,Na composição do NDE deve-se considerar que 60% dos membros tenham titulação de pós-graduação stricto sensu e que todos os membros sejam professores efetivos do curso.
Qual é a importância do NDE na graduação?,"O NDE é importante para garantir a qualidade do ensino, alinhando os projetos pedagógicos às diretrizes nacionais e às necessidades dos alunos, além de promover a pesquisa e extensão."
Quem pode convocar reuniões extraordinárias do NDE?,Reuniões extraordinárias do NDE podem ser convocadas pelo presidente ou por solicitação da maioria dos membros.
Quais são as responsabilidades do presidente do NDE?,"O presidente do NDE é responsável por convocar e presidir as reuniões, representar o NDE junto aos órgãos institucionais, encaminhar propostas ao colegiado do curso e coordenar as ações do NDE com outras instâncias institucionais."
Qual resolução tratou da criação do NDE?,"A criação do NDE foi regulamentada pela Resolução n° 062/2011 do Conselho de Ensino, Pesquisa e Extensão da Universidade Federal do Amazonas."
Quando a Resolução n° 062/2011 entrou em vigor?,"A Resolução n° 062/2011 entrou em vigor na data de sua publicação, em 30 de setembro de 2011."
O que é considerado na avaliação do projeto pedagógico pelo NDE?,"O NDE observa, contribui e acompanha a implantação, o desenvolvimento, a avaliação e a reestruturação do projeto pedagógico dos cursos de graduação."
Qual a relação do NDE com as Diretrizes Curriculares Nacionais?,O NDE deve zelar pela observância da aplicação das Diretrizes Curriculares Nacionais nos projetos pedagógicos dos cursos de graduação.
Como é feita a indicação dos membros do NDE?,Os membros do NDE são indicados pelo colegiado do curso.
Qual é a composição do NDE em termos de graduação?,"O NDE deve ser composto por um presidente com graduação no curso e pelo menos cinco membros, sendo que 60% destes devem ter graduação na área de conhecimento do curso."
O que é o Aproveitamento de Estudos na UFAM?,"O Aproveitamento de Estudos na UFAM é o processo de aceitação, pela universidade, dos estudos realizados em cursos de graduação autorizados ou reconhecidos no Brasil pelo Ministério da Educação ou oriundos de instituições estrangeiras de Educação Superior, conforme as condições estabelecidas na Resolução Nº 021/2007."
Quais são os três critérios básicos para o Aproveitamento de Estudos?,"Os três critérios básicos para o Aproveitamento de Estudos são: 1) Densidade, que se refere à carga horária da disciplina de origem em comparação à da UFAM; 2) Qualidade, que envolve a comparação do conteúdo programático da disciplina de origem com o da UFAM; 3) Adequação, que analisa se os objetivos da disciplina de origem coincidem com os da disciplina de destino."
Como deve ser solicitado o Aproveitamento de Estudos?,"O Aproveitamento de Estudos deve ser solicitado pela via processual, sendo aplicável a disciplinas cursadas na UFAM que não tenham identidade de código e não estejam no quadro de equivalência, assim como disciplinas cursadas em outras Instituições de Educação Superior, inclusive as estrangeiras."
É possível aproveitar mais de uma disciplina da UFAM com base em uma única disciplina cursada em outra instituição?,"Sim, conforme o §2º do Art. 3º da Resolução, é possível aproveitar mais de uma disciplina da UFAM com base em uma única disciplina cursada na IES de origem, desde que observados os critérios de identidade estabelecidos no Art. 2º."
"Quem é responsável por aplicar os critérios de Densidade, Qualidade e Adequação?","A aplicação dos critérios de Densidade, Qualidade e Adequação é de competência exclusiva da Coordenação de Curso."
O que acontece se uma disciplina obrigatória da UFAM tem identidade de código com uma disciplina de outro curso da instituição?,"Se uma disciplina obrigatória cursada na UFAM apresenta identidade de código com uma disciplina de outro curso da instituição, poderá ser aproveitada pelo processo de Transferência de Realização (TF), conforme o Art. 8º."
Qual é o limite máximo de carga horária optativa que pode ser aproveitada?,"O limite máximo de carga horária optativa que pode ser aproveitada é de 25% do total de carga horária exigida para a integralização do curso, salvo exceções onde o limite mínimo de carga horária optativa é fixado acima dos 25%."
Atividades institucionais podem ser aproveitadas como carga horária optativa?,"Sim, atividades institucionais como PIBIC, PET, monitoria, programas e projetos de extensão e pesquisa, e estágio não obrigatório vinculados ao ensino de graduação podem ser aproveitadas como carga horária optativa, com um limite máximo de 50% da carga horária mínima definida como optativa para o curso."
Quais disciplinas não podem ser aproveitadas?,"Não são passíveis de aproveitamento disciplinas que: 1) tenham sido reformuladas; 2) tenham sido alvo de dispensa do aluno no mesmo curso; 3) tenham sido cursadas concomitantemente em outra IES, exceto quando houver acordo institucional."
O que ocorre se a documentação apresentada para o Aproveitamento de Estudos for ilegível ou incompleta?,"Se a documentação apresentada for ilegível ou incompleta, o pedido de aproveitamento de estudos será indeferido liminarmente, conforme o Art. 12."
Qual é a carga horária que pode ser considerada equivalente ao Trabalho Final de Curso?,"O relatório final de atividades institucionais, se convertido em artigo e publicado em um veículo de comunicação da área com corpo editorial, pode ser considerado equivalente ao Trabalho Final de Curso para fins de Aproveitamento de Estudos."
Como são analisadas as disciplinas obrigatórias cursadas na UFAM?,"As disciplinas obrigatórias cursadas na UFAM que apresentem identidade de código poderão ser aproveitadas em outros cursos da Instituição, enquanto as que não apresentam o mesmo código, mas são consideradas equivalentes, serão aproveitadas conforme o previsto no quadro de equivalência do projeto pedagógico do curso."
Quais são os trâmites para o Aproveitamento de Estudos de disciplinas obrigatórias?,"Para disciplinas obrigatórias, o Coordenador do Curso deve solicitar um parecer técnico para observar a qualidade da disciplina de origem antes de emitir um parecer conclusivo sobre a solicitação de Aproveitamento de Estudos."
O que caracteriza a concomitância de matrícula em cursos?,"A concomitância caracteriza-se quando a matrícula institucional do aluno está ativa em dois cursos simultaneamente, o que impede o aproveitamento de disciplinas cursadas."
Como é feita a avaliação da qualidade das disciplinas para aproveitamento?,"Para subsidiar o exame de qualidade, o Coordenador do Curso pode solicitar parecer técnico ao Departamento Acadêmico ou ao professor responsável pela disciplina, conforme a estrutura da instituição."
O que acontece se um aluno solicitar o Aproveitamento de Estudos com documentação com emendas ou rasuras?,"O pedido de aproveitamento de estudos será indeferido liminarmente se a documentação apresentada contiver emendas ou rasuras, conforme o Art. 12."
Qual é a porcentagem mínima de densidade e qualidade necessária para o Aproveitamento de Estudos?,"Para que o aproveitamento de estudos seja concedido, é necessário que haja uma densidade mínima de 75% e uma qualidade mínima também de 75%, além da adequação dos objetivos das disciplinas."
Pode haver complementação de conteúdo ou carga horária no Aproveitamento de Estudos?,"Não, em nenhuma hipótese haverá complementação de conteúdo e/ou de carga horária para o Aproveitamento de Estudos, conforme o Art. 7º da Resolução."
Quais são as atividades institucionais passíveis de Aproveitamento de Estudos?,"As atividades institucionais que podem ser aproveitadas incluem PIBIC, PET, monitoria, programas e projetos de extensão e pesquisa, e estágio não obrigatório, conforme definido no Art. 10."
Qual é o benefício assegurado pela Lei nº 12.933 de 2013 para estudantes?,"A Lei nº 12.933 de 2013 assegura aos estudantes o direito ao pagamento de meia-entrada em eventos artísticos, culturais e esportivos, mediante a apresentação da Carteira de Identificação Estudantil (CIE)."
Quem pode solicitar a Carteira de Identificação Estudantil (CIE)?,"Podem solicitar a CIE os estudantes regularmente matriculados nos níveis e modalidades de educação e ensino previstos na Lei de Diretrizes e Bases da Educação Nacional, e que comprovem sua condição de estudante."
Como deve ser a Carteira de Identificação Estudantil (CIE)?,"A CIE deve seguir um modelo único nacionalmente padronizado, deve incluir informações como nome completo, data de nascimento, foto recente, nome da instituição de ensino, grau de escolaridade e ter validade até 31 de março do ano subsequente."
Qual é a validade da Carteira de Identificação Estudantil (CIE)?,A CIE é válida da data de sua expedição até 31 de março do ano subsequente.
Quais documentos são necessários para solicitar a CIE?,"Para solicitar a CIE, o estudante deve apresentar um documento de identificação com foto e um comprovante de matrícula correspondente ao ano letivo em questão."
O que acontece se um estudante não tiver a CIE no momento da compra do ingresso?,"O estudante não poderá usufruir do benefício da meia-entrada, pois a apresentação da CIE é obrigatória tanto na compra do ingresso quanto na entrada do evento."
As entidades emissoras da CIE têm alguma obrigação em relação aos dados dos estudantes?,"Sim, as entidades emissoras devem manter um documento comprobatório do vínculo do aluno com a instituição de ensino e disponibilizar um banco de dados com os nomes e números de registro dos estudantes portadores da CIE."
Quem são os responsáveis pela emissão da CIE?,"A CIE pode ser emitida pela Associação Nacional de Pós-Graduandos (ANPG), pela União Nacional dos Estudantes (UNE), pela União Brasileira dos Estudantes Secundaristas (Ubes), por entidades estaduais e municipais filiadas, por Diretórios Centrais de Estudantes (DCE) e por Centros e Diretórios Acadêmicos."
O que deve constar na Carteira de Identificação Estudantil (CIE)?,"A CIE deve conter o nome completo do estudante, data de nascimento, foto recente, nome da instituição de ensino, grau de escolaridade e a data de validade."
Estudantes de baixa renda devem pagar taxa para a emissão da CIE?,"Não, a cobrança de taxa para a emissão da CIE é vedada para jovens estudantes de baixa renda, que devem comprovar sua condição."
Qual o percentual de ingressos disponíveis para meia-entrada em eventos?,O benefício da meia-entrada deve ser assegurado em 40% do total dos ingressos disponíveis para cada evento.
As vagas de meia-entrada são cumulativas com outras promoções?,"Não, o benefício da meia-entrada não é cumulativo com quaisquer outras promoções e convênios."
Como é feita a fiscalização do cumprimento da Lei nº 12.933?,"A fiscalização do cumprimento da Lei é realizada por órgãos públicos competentes federais, estaduais e municipais."
Quais são os critérios para a concessão da meia-entrada para jovens de baixa renda?,"Os jovens de baixa renda, com idade entre 15 e 29 anos e inscritos no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico), têm direito à meia-entrada, desde que sua renda familiar mensal não ultrapasse dois salários mínimos."
A quem se aplica o direito à meia-entrada além dos estudantes?,"Além dos estudantes, o direito à meia-entrada também se aplica a idosos, pessoas com deficiência e jovens de baixa renda."
Como os estabelecimentos devem informar sobre a disponibilidade de ingressos de meia-entrada?,"Os estabelecimentos devem disponibilizar informações claras sobre o número total de ingressos e o número de ingressos de meia-entrada disponíveis em todos os pontos de venda, seja físicos ou virtuais."
O que deve ser feito se um estudante não conseguir comprar ingresso com meia-entrada?,"Se os estabelecimentos não disponibilizarem as informações necessárias sobre os ingressos de meia-entrada, o estudante ainda terá direito ao benefício, independentemente do percentual estabelecido."
Qual é a responsabilidade das entidades estudantis em relação ao banco de dados da CIE?,"As entidades devem manter um banco de dados com o nome e número de registro dos estudantes portadores da CIE, que deve ser acessível ao Poder Público e a estabelecimentos de eventos."
O que deve ser apresentado para a compra de ingresso de meia-entrada?,O estudante deve apresentar a Carteira de Identificação Estudantil (CIE) no momento da aquisição do ingresso e na entrada do local do evento.
Qual é a sede da Universidade do Amazonas?,A sede da Universidade do Amazonas está localizada na cidade de Manaus.
Quem criou a Universidade do Amazonas?,"A Universidade do Amazonas foi criada nos termos da Lei nº 4.069-A, de 12 de junho de 1962, e do Decreto nº 53.699, de 13 de março de 1964."
Qual é a autonomia da Universidade do Amazonas?,"A Universidade goza de autonomia didático-científica, administrativa e de gestão financeira e patrimonial."
Quais são os documentos que regem a organização e funcionamento da Universidade?,"Os documentos que regem a organização e funcionamento da Universidade são: o Estatuto, o Regimento Geral e os regimentos das unidades acadêmicas."
Qual é a finalidade da Universidade do Amazonas?,"A finalidade da Universidade é cultivar o saber em todos os campos do conhecimento puro e aplicado, estimular a criação cultural, formar diplomados, promover a investigação científica e colaborar com a realidade amazônica."
Quais são alguns princípios que a Universidade do Amazonas deve observar?,"A Universidade deve observar princípios como unidade de patrimônio e administração, organicidade da estrutura, integração das funções de ensino, pesquisa e extensão, e universalidade do conhecimento."
Quais unidades acadêmicas compõem a Universidade do Amazonas?,"As unidades acadêmicas incluem: Instituto de Ciências Exatas, Instituto de Ciências Biológicas, Instituto de Ciências Humanas e Letras, Faculdade de Tecnologia, Faculdade de Estudos Sociais, Faculdade de Ciências da Saúde, Faculdade de Educação, Faculdade de Ciências Agrárias, Faculdade de Direito e Faculdade de Educação Física."
Qual é a função do Conselho Universitário?,"O Conselho Universitário é o órgão máximo da Universidade, com funções deliberativas e normativas, responsável por reformar o Estatuto e o Regimento Geral, homologar listas para a escolha do Reitor e do Vice-Reitor, entre outras competências."
Como é composta a administração superior da Universidade?,"A administração superior é composta pelo Conselho Universitário, Conselho de Administração, Conselho de Ensino, Pesquisa e Extensão e pela Reitoria."
Qual é a função do Reitor?,"O Reitor é o representante da Universidade, responsável por fiscalizar, coordenar e superintender as atividades universitárias, administrar as finanças, e convocar reuniões dos órgãos colegiados."
Como os cargos de Diretor e Vice-Diretor de unidade acadêmica são providos?,"Os cargos de Diretor e Vice-Diretor são providos de acordo com a Lei nº 9.192, de 21 de dezembro de 1995, regulamentada pelo Decreto nº 1.916, de 23 de maio de 1996."
Qual é a duração mínima do ano letivo regular na Universidade?,O ano letivo regular terá a duração mínima de 200 dias de trabalho acadêmico efetivo.
Quais modalidades de cursos a Universidade pode ministrar?,"A Universidade pode ministrar cursos sequenciais, de graduação, de pós-graduação e de extensão."
Qual é o objetivo da pesquisa na Universidade do Amazonas?,"A pesquisa tem como objetivo fundamental produzir e difundir conhecimentos científicos, tecnológicos, artísticos e culturais, associando-se ao ensino e à extensão."
